,ПРАЙС CASTROMIR ОБЩИЙ,,
,Дата: 20.04.2026,,
,Склад:,ОСНОВНОЙ СКЛАД,
№ п/п,Товар,оптовая заказ,Производитель
26,"Сосиски ""СИЛА"" с/м",2975.7,Россия
27,"Сосиски Кнут говяжий ""АЛИАН"" (вес)",1809.4,Казахстан
28,Сосиски Ясмин ( Арыс) говяжьи,1580.5,Казахстан
29,Филе Индейка х/к вакуум,6921.5,Россия
30,"Филе Утки х/к ""ROKOS"" (вес)",4828.7,Россия
31,Филе курин. х/к Максимовка Арыс,3171.9,Казахстан
,КОНДИТЕРСКИЕ,,
1,"Арахисовая паста ""Bowl Basket"" 0.462кг",2707.1,США
2,"Варенье ""ЖУЛДЫЗ"" клубника 4л",5885,Казахстан
3,"Варенье ""ЖУЛДЫЗ"" малина в 4л",5992,Казахстан
4,"Варенье ""КАРЛСОН"" в ассортименте 6,8л.",6955,Россия
5,"Варенье ""КАРЛСОН"" смородина 4кг",3959,Россия
6,"Варенье"" КАРЛСОН"" абрикос 4 Л",4280,Россия
7,"Варенье""КАРЛСОН"" клубника 4 Л",4611.7,Россия
8,"Варенье""КАРЛСОН"" лимон имбирь 4 Л",3959,Россия
9,"Варенье""КАРЛСОН"" малина 4 Л",4622.4,Россия
10,"Готовый завтак ""Хрутка"" хлопья 0,7 кг",2675,Россия
11,"Джем ""МАХЕЕВ"" персик манго 0,3 КГ",749,Россия
,"Джем ""МАХЕЕВ"" тропические фрукты 0,3",,
12,,834.6,Россия
,КГ,,
13,"Джем ""ANDROS"" в ассортименте 1кг",4066,Россия
14,"Джем ""МАХЕЕВ"" апельсин 0,3,кг",813.2,Россия
15,"Джем ""МАХЕЕВ"" клубника 0,3 кг",834.6,Россия
16,"Джем ""МАХЕЕВ"" лесная ягода 0,3 КГ",834.6,Россия
17,"Джем ""МАХЕЕВ"" лимон 0,3 КГ",749,Россия
18,"Джем ""МАХЕЕВ"" малина 0,3 КГ",845.3,Россия
19,"Какао ""АСЫЛ HORECA"" 1кг",2794.84,Казахстан
20,"Какао напиток ""NESQUIK"" 1 кг",6634,Россия
21,"Клубника в сиропе ""ДИВА"" 580гр. стекло",1177,Китай
22,Конфитюр Алоэ 1кг,3819.9,Корея
23,"Краситель ""ТOP DECOR"" (белый) 0,1кг",1476.6,Россия
24,"Краситель ""ТOP DECOR"" (голубой) 0,1кг",1177,Россия
25,"Краситель ""ТOP DECOR"" (желтый) 0,1кг",1284,Россия
26,"Краситель ""ТOP DECOR"" (зеленый) 0,1кг",1177,Россия
27,"Краситель ""ТOP DECOR"" (коричневый) 0,1кг",1358.9,Россия
28,"Краситель ""ТOP DECOR"" (красный) 0,1кг",1337.5,Россия
29,"Краситель ""ТOP DECOR"" (оранжевый) 0,1кг",1123.5,Россия
30,"Краситель ""ТOP DECOR"" (розовый) 0,1кг",1177,Россия
31,"Краситель ""ТOP DECOR"" (синий) 0,1кг",1177,Россия
32,"Краситель ""ТOP DECOR"" (черный) 0,1кг",2300.5,Россия
33,Манго в сиропе 425мл,1070,Россия
34,Мед искусственый 1кг,695.5,Казахстан
35,Мед искусственый 5л,3959,Казахстан
36,"Печенье ""ОREO"" 4кг",10539.5,Россия
37,Печенье Савоярди,1872.5,Италия
38,"Сгущеное молоко ""3 ЖЕЛАНИЯ"" 0,38кг",642,Россия
39,"Сгущеное молоко ""ДЕП"" 0,6 кг ж/б",1947.4,Россия
40,"Сгущеное молоко ""ДЕП"" 0,7л",1979.5,Россия
41,"Сгущеное молоко ""ЛЮБАВИНКА"" 1,43кг",1712,Россия
42,"Сгущеное молоко вареное ""ДЕП"" 0,6кг",2011.6,Россия
43,"Шоколад ""RESTORA"" 1кг",7436.5,Италия
44,"Шоколад ""КАЗАХСТАН"" 0,1кг",963,Казахстан
45,"Шоколадная паста ""NUTELLA"" 630гр",4494,Россия
46,"Шоколадная паста ""NUTELLA"" 3кг",22577,Россия
47,КОНСЕРВАЦИЯ,0,
48,"Аджика ""ДинДин/Дракон"" 0,285л",507.6,Казахстан
49,"Аджика ""ЦИН КАЗ"" 0,37л",918,Казахстан
,"Ананас консервированный ""AGROSSO""",,
50,,1306.8,Россия
,"0,85л",,
51,"Анчоусы ""DELICIOUS"" 0,078кг (стекло)",3780,Италия
52,"Анчоусы ""DELICIOUS"" 0,7кг",13910.4,Италия
53,"Анчоусы ""ROLAND"" 0,056кг (красный)",2322,Морокко
54,"Анчоусы в масле ""RE FILETTO"" 0.075 кг",2862,Италия
55,"Артишок "" ITALCARCIORI"" 0,314кг",1738.8,Италия
56,"Артишок ""ITALCARCIORI"" 0,58кг",3353.4,Италия
57,"Горошек зеленый ""BONDUELLE"" 0,425кг",864,Россия
58,"Горошек зеленый ""MIKADO"" 0,425кг",702,Россия
59,Горошек зеленый дешевый ж/б 400гр.,334.8,Россия
60,Грибы Грузди маринованные 580гр,1058.4,Россия
,"Грибы ШИИТАКЕ маринованные ""DIVA""",,
61,,1026,Россия
,"0,58л",,
62,Грибы ШИИТАКЕ сушеные 1кг,8078.4,Китай
63,"Каперсы ""ITALCARCIOFI"" 0,212л",1382.4,Италия
64,"Каперсы ""ITALCARCIOFI"" 0,72л",3348,Италия
65,"Каперсы с веточкой ""DEMETRA"" 1,7л",21060,Италия
66,"Каперсы с веточкой ""ITALCARCIOFI"" 0,72л",3888,Италия
67,"Корнишоны ""VIT VIT"" 0,72л",869.4,Узбекистан
68,"Корнишоны ""АSANYCH"" 0,72л",918,Россия
,"Корнишоны индийские пикули ""ЭКОС""",,
69,,1026,Россия
,"0,67л",,
,"Кукуруза консервированная ""BONDUELLE""",,
70,,853.2,Россия
,"0,425л",,
,"Кукуруза консервированная 0,425кг ж\б",,
71,,345.6,Россия
,(деш),,
,Кукуруза консервированная сахарная,,
72,,702,Россия
,"""MIKADO"" 0,425кг",,
73,Кукурузные початки маринованные 0.37л,934.2,Россия
74,"Маслины ""KING"" целые черные 0,28кг",561.6,Турция
75,"Маслины ""OLIVETTA"" без косточки 3л",5594.4,Россия
76,"Маслины Каламата ""DEMETRA"" 1,7л",18900,Италия
,"Маслины гигант ""ITALCARCIOFI"" с",,
77,,2732.4,Италия
,"косточкой 0,58кг (стекло)",,
78,"Маслины резаные ""GREEN KING"" 3л",7128,Россия
79,"Огурцы маринованные ""АЗАМАТ"" 2л",1490.4,Казахстан
80,"Огурцы маринованные ""КЕРЕМЕТ"" 2л",939.6,Казахстан
81,"Оливки ""KING"" без косточки зеленые 0,28кг",702,Турция
,"Оливки гигант ""TALCARCIOFI"" с косточкой",,
82,,2732.4,Италия
,"0,58кг (стекло)",,
83,"Оливки зеленные""Sun Feel"" 3кг",5410.8,
84,"Опята маринованные ""ДИВА\ЭКОС"" 0,58л",1080,Россия
85,"Паста Том Ям ""AROY-D"" 0.4кг",2160,Таиланд
86,"Паста Том Ям ""AROY-D"" 1кг",4968,Таиланд
87,"Патиссоны маринованные ""ЭКОС"" 0,67л",1026,Россия
,Перец стручковый маринованный,,
88,,1188,Турция
,"""YAKAMOZ"" 0,37кг",,
,Перец стручковый маринованный,,
89,,2181.6,Турция
,"""YAKAMOZ"" 0,72кг",,
90,"Персик консервированный ""AGROSSO"" 0,86",1134,Россия
91,"Помидоры вяленые ""ITALCARCIOFI"" 0,58л",2732.4,Италия
92,"Помидоры вяленые ""ITALCARCIOFI"" 0,72л",3423.6,Италия
93,"Помидоры вяленые ""ITALCARCIOFI"" 1,062л",4104,Италия
94,"Помидоры вяленые ""ITALCARCIOFI"" 3,1л",11340,Италия
95,"Помидоры вяленые ""ITALCARСIOFI"" 0,314л",1868.4,Италия
,"Тунец ""Аквамарин"" в собстввенном соку\в",,
96,,9315,Россия
,"масле 1,7кг",,
97,"Тунец ""Аквамарин/Пеликан"" 0,185кг",1490.4,Россия
98,"Тунец ""ПЕЛИКАН"" в масле 1,7кг",8942.4,Турция
99,"Тунец филе ""TUNA"" в масле 0.14кг",1285.2,Казахстан
100,"Фасоль белая 0,425кг (деш)",388.8,Россия
101,"Фасоль белая в т\с ""МIKADO"" 0,425кг",583.2,Россия
102,"Фасоль красная ""BONDUELLE"" 0,425кг",939.6,Россия
103,"Фасоль красная 0,42кг ж\б (деш)",432,Россия
104,"Фасоль красная в с\с ""МIKADO"" 0,425кг",540,Россия
105,"Фасоль красная в т\с ""MIKADO"" 0,425кг",583.2,Россия
106,"Халапеньо ""YAKAMOZ"" 0,37кг",1188,Турция
107,"Халапеньо ""YAKAMOZ"" 0,72кг",1998,Турция
108,"Халапеньо ""YAKAMOZ"" 5кг",9720,Турция
109,"Халапеньо ""YAKAMOZ"" перчик 5кг",9720,Турция
110,"Халапеньо ""АЛМАТЫ"" перчик 5кг",3456,Казахстан
111,"Халапеньо ""АЛМАТЫ"" резаные 5 кг",3456,Казахстан
112,"Хрен ""МАХЕЕВ"" 0,14кг (мягкая упаковка)",486,Россия
113,"Хрен ""МАХЕЕВ"" 0,19кг (стекло)",691.2,Россия
114,"Черри консервированные ""ACANYH"" 0,72л",1015.2,Узбекистан
,"Черри консервированные ""АВРОРА/ЭКОС""",,
115,,756,Россия
,"0,72л",,
116,"Шампиньоны резанные ""GOODDAY "" 3 л",1987.2,Китай
,Шампиньоны консервированные,,
117,,4428,Китай
,"резанные ""GREEN CLUB"" 3л",,
,Шампиньоны консервированные,,
118,,1771.2,
,"резанные ""KING"" 3л ж\б",,
,Шампиньоны консервированные,,
119,,1962.36,Турция
,"резанные ""VEGDA"" 3л ж\б",,
,Шампиньоны консервированные,,
120,,4352.4,Россия
,"резанные ""ЭКО LAND"" 3л",,
,Шампиньоны консервированные,,
121,,1836,Россия
,"резаные""AGROSSO"" 3л",,
,Шампиньоны консервированные целые,,
122,,3888,
,"""AGROSSO"" 3л ж\б",,
,Шампиньоны консервированные целые,,
123,,4471.2,Россия
,"""ЭКО LAND"" 3л",,
,"Шампиньоны маринованные ""DIVA""",,
124,,1090.8,Россия
,"0,53/0,58г",,
125,КРУПЫ,0,
126,"Булгур ""ВИП"" 0,8кг",939.6,Турция
127,Булгур 25кг,27324,Турция
128,Булгур фасованный по 5кг,5594.4,Казахстан
129,"Геркулес ""АЛТАЙСКАЯ СКАЗКА"" 0,4кг",302.4,Казахстан
130,"Геркулес ""ВИП"" 0,4кг",237.6,Россия
131,"Геркулес ""ВИП"" 4 злака 0,4кг",324,Россия
132,"Геркулес ""ВИП"" 3 злака 0,4кг",324,Россия
133,"Геркулес ""УВЕЛКА"" 0,4кг",615.6,Россия
134,"Геркулес ""УВЕЛКА"" 6 злаков 0,35кг",723.6,Россия
135,Геркулес овсяные хлопья (вес),5616,Казахстан
136,Геркулес фасовка 3кг,745.2,Россия
137,"Горох ""АЛТАЙСКАЯ СКАЗКА"" 0,8кг",496.8,Казахстан
138,"Горох ""ВИП"" колотый 0,8кг",496.8,Россия
139,Горох 25кг,7765.2,Россия
140,Горох фасовка 5кг,1553.04,Россия
141,Гречневая зеленая крупа (вес),13986,Россия
,"Гречневая крупа ""АЛТАЙСКАЯ СКАЗКА""",,
142,,345.6,Казахстан
,"0,8кг",,
143,"Гречневая крупа ""ВИП"" 0,8кг",507.6,Россия
144,Гречневая крупа (вес),347.76,Россия
