Отчет IMPRO v.1.0 build-727         << S_MARKET >>;;;
ПРАЙС ИМПРО ОБЩИЙ;;;
Дата: 05.05.2026;;;
Склад:   ОСНОВНОЙ СКЛАД;;;
Дни:   ;;;
Реквизиты идополнительные данные;;;
Торговая точка:   Gastro Mir;;;
;;;
№ п/п;Товар;;Производитель
8;"Молоко ""GREEN MILK"" овсяное 1л";1 276,00;Россия
9;"Молоко ""GREEN MILK"" соевое 1л ";1 276,00;Россия
10;"Молоко ""KALLEH"" 3% 1л";770,00;Иран
11;"Молоко ""LACTEL"" 2.5% 1л";682,00;Казахстан
12;"Молоко ""LACTEL"" 3,2% 1л";869,00;Казахстан
13;"Молоко ""MIDORI"" кокосовое ж/б 18% 0,4кг";1 144,00;Россия
14;"Молоко ""АЯ"" 2,5% 0,9л";451,00;Казахстан
15;"Молоко ""АЯ"" 3,2% 0,9л";462,00;Казахстан
16;"Молоко ""АЯ"" 6% 0,9л";539,00;Казахстан
17;"Молоко ""Милко Во"" 2,5% 0.9л";429,00;Казахстан
18;"Молоко ""Милко Во"" 3,2% 0.9л";451,00;Казахстан
19;"Молоко ""НОВЫЙ ДЕНЬ"" 2,5% 1л";693,00;Казахстан
20;"Молоко ""НОВЫЙ ДЕНЬ"" 3,2% 1л";737,00;Казахстан
21;"Молоко ""НОВЫЙ ДЕНЬ"" 6% 1л";847,00;Казахстан
22;"Молоко ""ПЕТРОПАВЛОВСКОЕ"" 2,5% 0,9л";506,00;Казахстан
23;"Молоко ""ПЕТРОПАВЛОВСКОЕ"" 3,2% 0,9л";561,00;Казахстан
24;"Молоко ""ПЕТРОПАВЛОВСКОЕ"" 6% 0,9л";638,00;Казахстан
25;"Молоко ""ПРОСТО"" 2.5% ";594,00;Казахстан
26;"Молоко ""ПРОСТО"" 3,2%";605,00;Казахстан
27;"Молоко ""ПРОСТО"" 6%";660,00;Казахстан
28;"Молоко ""ШАДРИНСКОЕ"" т/п 0,5л";924,00;Казахстан
29;"Молоко ""ШАДРИНСКОЕ"" т/п 1л";1 782,00;Казахстан
30;"Молоко сухое ""ЛЕДИ"" 0,5кг";1 518,00;Корея
31;"Молоко сухое ""ФРИМА"" 0,5кг";1 628,00;Корея
32;"Сливки ""CREAMART"" 20% 1л";1 705,00;Россия
33;"Сливки ""HALTA"" 29,2% 1л";2 849,00;Латвия
34;"Сливки ""KALLEH"" 33% 1л";3 025,00;Иран
35;"Сливки ""MASTER GOURMET"" 24% 1л";3 333,00;Италия
36;"Сливки ""PURATOS"" Виппак 1л 27% ";1 881,00;Россия
37;"Сливки ""PURATOS"" Шантипак 27% 1л";1 936,00;Россия
38;"Сливки ""Б.М.К."" 33% 1л ";2 783,00;Россия
39;"Сливки ""МОЛОЧНЫЙ ГОСТИНЕЦ"" 33% 1л";2 970,00;Беларусь
40;"Сливки ""ПЕТРОПАВЛОВСКИЕ"" 20% 0,5л";1 331,00;Казахстан
41;"Сливки ""ЧУДСКОЕ ОЗЕРО"" 33% 1л";2 970,00;Россия
42;"Сливки взбитые ""HALTA"" 0.25";1 331,00;Италия
43;"Сливки взбитые ""HULALA"" 0.25кг";1 331,00;Италия
44;"Сливки взбитые ""MEGGLE"" 0,25кг";1 562,00;Россия
45;"Сливки взбитые ""ФИТНЕС"" 0,25кг";2 123,00;Россия
46;"Сливки кокосовые ""AROY-D"" ж/б 0,56л";2 750,00;Таиланд
47;"Сливки порционные ""АЛЬПЕНГУРТ""10% 10шт х 10гр ";632,50;Россия
48;"Сметана ""PRESIDENT"" 20% 0,4кг";913,00;Казахстан
49;"Сметана ""СМЕТАНКИНО"" 1л";1 243,00;Казахстан
50;"Сметана ""СМЕТАНКИНО"" 5кг";4 114,00;Казахстан
51;Сметана 5л (в ассортименте);4 268,00;Казахстан
52;"Творог ""PRESIDENT"" 9% 0,9кг";2 310,00;Казахстан
53;"Творог ""ЧЕРНЫЙ ПРИНЦ"" 9% 5кг ";7 260,00;Казахстан
54;Мороженое ГорМолЗавод сливочное шоколадное 900 г;3 900,00;Казахстан
55; Мороженое ГорМолЗавод сливочное 900 г;3 900,00;Казахстан
;  МОРЕПРОДУКТЫ;;
1;Дорадо 400/600гр (вес);7 744,00;Турция
2;"Икра лососевая ""ГОСТ"" 0,14 кг ж\б";1 430,00;Россия
3;"Икра лососевая зернистая  ""ГОСТ"" 0,22 кг стекло";1 694,00;Россия
4;Кальмар тушка 1кг ;3 025,00;Россия
5;"Кольца кальмара ""AMIKO SEA FOOD"" 1кг";2 981,00;Россия
6;"Кольца кальмара ""POLAR"" в панировке 1кг";4 180,00;Россия
7;"Крабовое мясо""VICI"" белое 0,5кг";2 068,00;Россия
8;"Крабовые палочки ""АТЛАНТИДА"" 0,19кг";330,00;Россия
9;"Крабовые палочки ""ДУША ОКЕАНА"" 0,5кг";1 518,00;Россия
10;"Крабовые палочки ""Сочный краб"" САНТА БРЕМОР 0.5кг";1 694,00;Россия
11;Крабовые палочки (вес);1 320,00;Россия
12;"Крабовые палочки VICI ""Снежнай краб"" 0.5кг";2 013,00;Россия
13;"Креветки ""AMIKO"" 1,8кг 21\25  (ледблок)";12 430,00;
14;"Креветки ""AMIKO"" 16\20 очищенные 1кг ";4 356,00;Индия
15;"Креветки ""ELITFISH"" 1,8кг 21\25 (ледблок)";10 593,00;
16;"Креветки ""FISH BASKET"" очищенные 1кг";4 356,00;
17;"Креветки ""RISMA"" 26\30 без головы 1.8кг";11 451,00;Эквадор
18;"Креветки ""RISMA"" очищенные 31/40 1кг";8 030,00;Россия
19;"Креветки ""ZAMAN HORECA"" 31\35 1,8кг (лед блок) ";11 220,00;
20;Креветки ( бланш) 100/200;3 982,00;
21;Креветки бланшированные премиум16/20 1кг;7 260,00;Китай
22;Креветки бланшированные эконом 16\20 1кг;4 356,00;Китай
23;"Креветки королевские""VICI"" 50/70  (вес)";3 740,00;Россия
24;"Креветки пивные ""POLAR"" 120+ 5кг";5 929,00;Россия
25;"Креветки тигровые ""ЭКОНОМ"" 16/20 1кг ";3 630,00;Россия
26;Мидии в полустворке 1кг;2 750,00;Россия
27;Мидии целые вакум 1кг;4 609,00;Россия
28;Морской коктейль 1кг;2 200,00;Россия
29;Морской язык с/м (вес);1 760,00;Россия
30;Осьминоги Бэби (крупные)1кг ;4 015,00;Россия
31;"Сельдь филе в масле ""ROKOS"" 0,5кг";1 815,00;Россия
32;"Сельдь филе под шубу ""ROKOS"" 0,5кг";1 815,00;Россия
33;Семга 10-12 кг (вес);9 315,00;Норвегия
34;Семга 12-14кг (вес);10 499,50;Норвегия
35;Семга 14+ (вес);10 005,00;Норвегия
36;Семга 5-6кг (вес);6 785,00;Норвегия
37;Семга 6-7кг (вес);6 451,50;Норвегия
38;Семга 7-8кг (вес);6 957,50;Норвегия
39;Семга 8-9 кг (вес);7 659,00;Норвегия
40;Семга 9+кг (вес);7 843,00;Норвегия
41;Семга с/с пласт (вес);10 120,00;Норвегия
42;Семга свежая пласт кг (вес);9 775,00;Норвегия
43;Семга х\к (вес);9 775,00;Норвегия
44;Сибас 300/400гр;8 349,00;Турция
45;Судак филе средний (вес) ;2 909,50;Казахстан
46;Тилапия филе 1кг;2 530,00;Китай
47;Тунец филе с/м (вес);12 650,00;Россия
48;Форель радужная 300/400гр;5 692,50;Турция
;  МУКА И МУЧНЫЕ ИЗДЕЛИЯ;;
1;Кляр мука Корея;2 200,00;Корея
2;Лаваш 50шт ;2 728,00;Казахстан
3;"Лапша KEKESHI ""Egg noodle""  0.3кг";385,00;Китай
4;"Лапша KEKESHI ""Udon"" 0,3кг ";544,50;Китай
5;"Лапша RISMA ""Soba"" 0,3кг ";462,00;Китай
6;"Лапша КЭММИ ""Бесбармачная"" 0,25 кг";330,00;Казахстан
7;"Лапша КЭММИ ""Бесбармачная"" 0,45кг";759,00;Казахстан
8;"Лапша КЭММИ ""Жайма"" 0,2 кг ";363,00;Казахстан
9;"Лапша КЭММИ ""Лапаша суповая"" 0,2кг ";451,00;Казахстан
10;"Лапша кукси ""LION"" 0,7кг";1 028,50;Китай
11;"Макароны "" ДАМИР"" короткие 5 кг";2 541,00;
12;"Макароны ""ДАМИР"" вермишель 5кг";2 607,00;Казахстан
13;"Макароны ""ДАМИР"" кривые 5кг";2 607,00;Казахстан
14;"Макароны ""ДАМИР"" паутинка 5кг";2 607,00;Казахстан
15;"Макароны ""ДАМИР"" перья  5 кг";2 607,00;Казахстан
16;"Макароны ""ДАМИР"" ракушки 5 кг";2 605,90;Казахстан
17;"Макароны ""ДАМИР"" рожки 5кг";2 607,00;Казахстан
18;"Макароны ""ДАМИР"" спираль 5кг";2 607,00;Казахстан
19;"Макароны ""ДАМИР"" трубочки №15  5 кг";2 607,00;Казахстан
20;"Макароны ""СУЛТАН"" 0,4кг (в ассортименте) ";473,00;Казахстан
21;"Макароны ""СУЛТАН"" 1,6кг (в ассортименте)";1 848,00;Казахстан
22;"Макароны BARILLA ""Bavette №13"" 0.5кг";748,00;Италия
23;"Макароны BARILLA ""Calintali"" 0,45кг";1 925,00;Италия
24;"Макароны BARILLA ""CASARECCE  №288"" 0.5кг";1 287,00;Италия
25;"Макароны BARILLA ""Farfale №65"" 0,45кг";1 034,00;Италия
26;"Макароны BARILLA ""Fettuccine №166"" 0,5кг";2 310,00;Италия
27;"Макароны BARILLA ""Fizulli №98""  0,45кг";792,00;Италия
28;"Макароны BARILLA ""Lazagne №189"" 0,5кг ";1 606,00;Италия
29;"Макароны BARILLA ""Mafaldine №217"" 0,5кг";1 980,00;Италия
30;"Макароны BARILLA ""Mezze Penne Tricolore № 170"" 0.5кг ";2 200,00;Италия
31;"Макароны BARILLA ""Pappardele №176"" 0,25кг";1 760,00;Италия
32;"Макароны BARILLA ""Penne №73"" 0,45кг";792,00;Италия
33;"Макароны BARILLA ""RISONI №26"" 0,45кг";792,00;Италия
34;"Макароны BARILLA ""Spagetti №5"" 0,5кг";748,00;Италия
35;"Макароны BARILLA ""Tagliatelle №16"" 0,5кг ";1 947,00;Италия
36;"Макароны BARILLA ""Tortigliobe №83"" 0,45кг";792,00;Италия
37;"Макароны DE CECCO ""Fettuccine №233""  0.5кг";2 640,00;Италия
38;"Макароны DE CECCO ""FUZILLI №34"" 0,5кг ";1 738,00;Англия
39;"Макароны DE CECCO ""Spaghetti №12"" 0,5кг ";1 958,00;Англия
40;"Макароны DE CECCO ""Tagliatelle №203"" 0,5кг ";2 420,00;Англия
41;"Макароны GRAND PASTA ""Fettuccine 0.5кг";836,00;Турция
42;"Макароны GRAND PASTA ""Spaghetti"" 0,45кг";462,00;Турция
43;"Макароны GRANORO ""Fettuccine №82"" 0,5кг";1 760,00;Турция
44;"Макароны GRANORO ""Lingue di Passero №3"" 0,5кг";968,00;Италия
45;"Макароны GRANORO ""Penne rigate tricolore №231"" 0,5кг";786,50;Италия
46;"Макароны GRANORO ""Penne rigate №26"" 0,5кг";786,50;Италия
47;"Макароны GRANORO ""Spaghetti №13"" 0,5кг";880,00;Италия
48;"Макароны GRANORO ""Spaghetti №14"" 0,5 кг ";858,00;Италия
49;"Макароны GRANORO ""Spaghetti №16"" 0,5 кг  ";869,00;Италия
50;"Макароны GRANORO ""Spiralli Grandi №100"" 0,5кг";759,00;Италия
51;"Макароны GRANORO ""Tagliatelle Verdi №80"" 0,5 (со шпинатом)  ";1 760,00;Италия
52;"Макароны GRANORO ""Tagliatelle №81"" 0,5кг ";1 694,00;Италия
53;"Макароны LE BONTA DEL CASALE ""Spaghetti Nero"" 0,3 кг";2 662,00;Италия
54;"Макароны ЛИЯ ""Лапша яичная"" 0,4кг";440,00;Казахстан
55;"Макароны"" ДАМИР"" особые 5 кг";2 541,00;Казахстан
56;"Маккроны ""ДАМИР"" трубочки 5кг";2 541,00;Казахстан
57;"Мука ""100 ПУДОВ"" 1\с 10кг ";4 166,80;Казахстан
58;"Мука ""100 ПУДОВ"" 1\с 50кг ";12 100,00;Казахстан
59;"Мука ""100 ПУДОВ"" 1\с 5кг ";1 485,00;Казахстан
60;"Мука ""100 ПУДОВ"" в\с 10кг ";4 235,00;Казахстан
61;"Мука ""100 ПУДОВ"" в\с 25 кг";8 349,00;Казахстан
62;"Мука ""100 ПУДОВ"" в\с 50кг";17 666,00;Казахстан
63;"Мука ""100 ПУДОВ"" в\с 5кг";2 178,00;Казахстан
64;"Мука ""100 пудов"" 1\с 25кг";6 479,00;Казахстан
65;"Мука ""ЦЕСНА"" 1\с 50 кг";12 815,00;Казахстан
66;"Мука ""ЦЕСНА"" в\с 25 кг";9 141,00;Казахстан
67;"Мука ""Цесна"" в\с 10кг ";4 312,00;Казахстан
68;"Мука гречневая ""7 КАЗЫНА"" 1кг";847,00;Казахстан
69;"Мука из зеленой гречки ""7 КАЗЫНА"" 1кг";1 331,00;Казахстан
70;"Мука кукурузная ""7 КАЗЫНА"" 1кг";726,00;Казахстан
71;"Мука нутовая ""7 КАЗЫНА"" 1кг";1 320,00;Казахстан
72;"Мука овсяная ""7 КАЗЫНА"" 1кг";847,00;Казахстан
73;"Мука ржаная ""7 КАЗЫНА"" 1кг";429,00;Казахстан
74;"Мука рисовая ""7 КАЗЫНА""  1кг";968,00;Казахстан
75;"Мука темпурная ""KANESHIRO"" 1кг";1 331,00;Китай
76;"Мука темпурная ""ЯПОША"" 1кг";770,00;Китай
77;Мука темпурная KANESHIRO  5 кг;4 400,00;Китай
78;"Мука цельнозерновая ""7 КАЗЫНА"" 1кг";484,00;Казахстан
79;"Мука"" ЦЕСНА"" в/с2 кг";847,00;Казахстан
80;"Мучная смесь ""OSHI"" темпура 18кг   ";9 350,00;Россия
81;"Спагетти ""ДАМИР"" 2кг";1 067,00;Казахстан
82;"Спагетти ""ДАМИР"" 5кг";2 959,00;Казахстан
83;"Спагетти ""СУЛТАН"" 0,4кг";473,00;Казахстан
84;"Спагетти ""СУЛТАН"" 1,6кг";1 848,00;Казахстан
85;"Спагетти ""ЦЕСНА"" 1,6кг";1 391,50;Казахстан
86;"Тесто слоеное ""ВИШНЯ"" 0,9кг";1 056,00;Казахстан
87;Тортилья пшеничные 10шт;1 155,00;Казахстан
;  МЯСО ПТИЦЫ;;
1;Бедро куриное в подложке (вес);1 713,50;Казахстан
2;Бедро куриное монолит (вес);1 518,00;Казахстан
3;Голень индейки с/м;1 265,00;Россия
4;Голень куриная Америка 15кг (монолит);26 220,00;США
5;Голень куриная в подложке ;1 725,00;Казахстан
6;Голень монолит (вес);1 644,50;
7;Грудка индейки с/м вакуум;3 795,00;Россия
8;Крыло куриное в подложке;1 840,00;Казахстан
9;Крыло куриное монолит (вес);1 713,50;Россия
10;Курица табака ;1 437,50;Россия
11;Курица тушка 1,4-1,7кг;1 748,00;Россия
12;Окорочка KZ монолит (вес);1 587,00;Казахстан
13;Окорочка Бразилия крупные монолит (вес);1 690,50;Бразилия
14;Окорочка США 15 кг ;27 600,00;США
15;Тушка перепелки (вес);4 312,50;Казахстан
16;"Филе Индейки с/м ""ПАВЛОДАРСКАЯ""  (вес)";4 933,50;Россия
17;Филе Утки с/м;1 897,50;Китай
18;Филе куриное в подложке (вес);2 403,50;Казахстан
19;Филе куриное кг монолит (вес);1 966,50;Китай
20;Цыпленок корнишон (вес);3 162,50;Казахстан
21;Яйца перепелинные (лоток 20шт);747,50;Казахстан
22;Яйцо Казгер C1 (лоток 30шт);2 311,50;Казахстан
23;Яйцо С-1 (лоток 30шт);2 098,80;Казахстан
;  ПОЛУФАБРИКАТЫ И КАРТОФЕЛЬНЫЕ ИЗДЕЛИЯ;;
1;"Батат сладкий ""FARM"" 2кг";7 260,00;Белгия
2;"Дольки картоф.""ТРИУМФ"" 2,5 кг.";3 080,00;Россия
3;"Дольки картофельные ""AVIKO"" 2,5кг";3 850,00;Нидерланды
4;"Дольки картофельные ""FARM"" 2.5кг";3 300,00;Англия
5;"Картофель ""AVIKO"" Хашбраун 2,5кг";4 537,50;Белгия
6;"Картофель пай ""HROOM"" 0,07кг";440,00;Россия
7;Картофель сладкий Батат 2,5кг;7 150,00;Россия
8;"Картофельные лодочки ""FARM"" 2кг";4 180,00;Белгия
9;"Лодочки картофельные ""AVIKO"" 2кг";3 630,00;Бельгия
10;Луковые кольца 1кг;2 420,00;Россия
11;"Наггетсы куриные ""СЕРВОЛЮКС"" 2кг";4 785,00;Россия
12;Наггетсы куриные 1,5кг;2 860,00;Россия
13;"Фри ""FARM"" 10мм 2,5кг.";3 850,00;Белгия
14;"Фри ""FRY ME"" 9мм 2.5кг ";2 420,00;
15;"Фри ""KDHY"" (7мм) 2кг ";2 915,00;Китай
16;"Фри ""KDHY"" (9мм) 2кг ";2 035,00;Китай
17;"Фри ""MFS"" (9мм) 2.5кг ";2 530,00;Китай
18;"Фри ""ROYAL CHEF"" (9мм) 2.5кг ";2 409,00;Китай
19;"Фри ""STEALTH FRIES"" 9мм 2кг";1 936,00;
20;"Фри ""АVIKO"" 7мм 2,5кг.";3 751,00;Белгия
21;"Фри ""АVIKO"" 9,5мм 2,5кг.";3 520,00;Белгия
22;"Фри ""ТРИУМФ"" 6мм 2,5кг";2 607,00;Россия
23;"Фри ""ТРИУМФ"" 9мм 2,5 кг.";2 365,00;Россия
24;"Фри AMIKO ""Golden Crunch"" 7мм 2.5кг";2 640,00;Китай
25;"Хашбраун ""FARM"" 2.5 кг";5 753,00;
26;"Хашбраун овальный ""FARM"" 2.5 кг";5 885,00;Россия
27;"Шарики картофельные ""AMIKO"" 2кг";3 245,00;Китай
28;"Шарики картофельные ""AVIKO"" 2.5кг";5 203,00;Нидерланды
;  ПРИПРАВЫ И СПЕЦИИ;;
1;"Бульон ""MAGGI"" говяжий на косточке 48шт";1 342,00;Россия
2;"Бульон ""MAGGI"" золотой куриный 48шт";1 276,00;Россия
3;"Бульон ""MAGGI"" на косточке 75 гр";418,00;Россия
4;"Бульон ""РОЛЛТОН"" говяжий  90гр";198,00;Россия
5;"Бульон ""РОЛЛТОН"" куринный  90гр";198,00;Италия
6;"Бульон ""РОЛЛТОН"" универсальный 90гр";192,50;Россия
7;"Бульон говядина ""KNORR"" 2 кг";6 600,00;Германия
8;"Бульон говяжий ""KNORR""  5кг";17 600,00;Германия
9;"Бульон грибной ""KNORR"" 2 кг";11 000,00;Германия
10;"Бульон демигласс порошок ""KNORR"" 1кг";7 810,00;Германия
11;"Бульон куринный ""KNORR""  5кг";17 545,00;Германия
12;"Бульон куриный ""KNORR"" 1кг";6 820,00;Германия
13;"Бульон куриный ""KNORR"" 2 кг";4 840,00;Германия
14;Бульон порошок демигласе 1,5 кг ;13 200,00;Турция
15;"Бульонные кубики ""GALLINA BLANCA"" говядина 10гр*48шт";1 210,00;Россия
16;"Бульонные кубики ""GALLINA BLANCA"" грибной 10гр*48шт";1 210,00;Россия
17;"Бульонные кубики ""GALLINA BLANCA"" куриный 10гр*48шт";1 210,00;Россия
18;"Ванилин  ""АСЫЛ HORECA"" 1 кг";2 849,00;Россия
19;"Горчица ""HEINZ"" 2л";5 126,00;США
20;"Горчица ""МАХЕЕВ"" зернистая 0,19кг (стекло)";562,10;Россия
21;"Горчица ""МАХЕЕВ"" зернистиая 0,14кг (мягкая упаковка)";363,00;Россия
22;"Горчица ""МАХЕЕВ"" паста 0,14кг (мягкая упаковка) ";275,00;Россия
23;"Горчица ""МАХЕЕВ"" паста 0,19кг (стекло)";484,00;Россия
24;"Горчица ""ОМЕГА"" порошок 1 кг";1 408,00;Казахстан
25;Горчица Русская Махеев стекло 190гр;385,00;
26;"Горчица дижонская ""Covinor"" 0,37кг (стекло)";1 408,00;Франция
27;"Горчица дижонская ""Covinor"" 1кг (стекло)";3 630,00;Франция
28;"Горчица дижонская зернистая ""Covinor"" 1кг (стекло)";3 520,00;Франция
29;Горчица сухая зерно 1кг;3 025,00;Россия
30;"Дрожжи ""LUX"" сырые 1кг";792,00;Россия
31;"Дрожжи ""PAKMAYA"" 0,05кг";209,00;Казахстан
32;"Дрожжи ""PAKMAYA"" 0,45кг";1 320,00;Казахстан
33;"Желатин ""ОМЕГА"" 15гр";220,00;Россия
34;Кляр для крылышек 1кг;2 530,00;
35;"Кокосовая стружка ""АСЫЛ"" 0,45кг";2 026,20;Казахстан
36;"Крахмал картофельный ""СЛАДКИЕ МЕЧТЫ"" 1кг";847,00;Россия
37;"Крахмал кукурузный ""СЛАДКИЕ МЕЧТЫ"" 1 кг ";704,00;Россия
38;"Кристалики ""ЛОТОС"" 0,4кг";198,00;Китай
39;"Кристалики Лотос ""ЮНН"" оригинал 0,4кг";792,00;Китай
40;"Кумин молотый ""SANTA MARIA"" 0,43кг";6 776,00;Италия
41;Кунжут белый 1кг (вес);1 595,00;Узбекистан 
42;Кунжут черный 1кг (вес);2 783,00;Узбекистан 
43;Лавровый лист 50гр;407,00;Россия
44;"Лемонграсс сушеный ""GENSO"" 0.1кг";2 662,00;Таиланд
45;Лимонная кислота 1кг;1 265,00;Россия
46;"Лук жареный ""MANESK"" 1кг";3 520,00;Россия
47;"Лук жареный ""MORTAS"" 1кг";3 190,00;Китай
48;"Мак ""СЛАДКИЕ МЕЧТЫ"" 1кг";2 964,50;Россия
49;Орегано 1 кг;2 200,00;Узбекистан 
50;Орегано Santa-Maria 65 гр.;3 751,00;США
51;Паприка 1кг;891,00;Узбекистан 
52;"Паприка копченная ""SANTA-MARIA"" 0,5кг";7 865,00;США
53;"Перец красный ""ROYAL"" 1кг";2 530,00;Россия
54;"Перец красный ""АСЫЛ"" 1кг";2 530,00;Россия
55;"Перец красный молотый ""ШЕФ"" 1кг";1 650,00;Россия
56;"Перец черный  ""АСЫЛ"" 1кг";2 783,00;Россия
57;"Перец черный молотый ""ROYAL"" 1кг";2 607,00;Россия
58;"Перец черный молотый ""ОРДА"" 1кг";2 607,00;Россия
59;"Перец черный молотый ""ШЕФ"" 1кг";1 925,00;Россия
60;"Приправа ""SANTA-MARIA"" ПАПРИКА 0,34кг";7 865,00;США
61;"Приправа ""SANTA-MARIA"" Стейкхауз 0,565 кг";8 591,00;США
62;"Приправа ""SANTA-MARIA"" гриль-барбекю 0,61кг";5 830,00;США
63;"Приправа ""SANTA-MARIA"" для курицы 0,65кг";5 324,00;США
64;"Приправа ""SANTA-MARIA"" для фри 0,8кг";5 720,00;США
65;"Приправа ""SANTA-MARIA"" лимонная к рыбе 0,85кг";11 495,00;США
66;"Приправа ""SANTA-MARIA"" смесь 5 перцов 0,19кг";7 865,00;США
67;"Приправа ""SANTA-MARIA"" чесночная 1кг";6 050,00;США
68;"Приправа ""ПРИПРАВЫЧ"" 12 овощей 0,8кг";2 200,00;Россия
69;"Приправа ""ХОНДА-ШИ"" рыбная 1кг";3 465,00;Китай
70;"Приправа ""ЧИМ-ЧИМ"" для капусты";429,00;Россия
71;"Приправа ""ЧИМ-ЧИМ"" для моркови";462,00;Россия
72;"Приправа ""ЧИМ-ЧИМ"" для огурцов";429,00;Россия
73;"Приправа ""ЧИМ-ЧИМ"" для фунчозы";462,00;Россия
74;"Приправа 12 овощей ""ROYAL"" 450гр";1 045,00;Россия
75;Приправа Дашида для мяса 1кг;3 630,00;Китай
76;Приправа Дашида для рыбы 1кг;5 500,00;Китай
77;Приправа Чикен Редракон 1кг;2 541,00;Россия
78;"Приправа для гриля ""ROYAL""  450гр";1 045,00;Россия
79;"Приправа для курицы ""ROYAL""  450гр";1 045,00;Россия
80;"Приправа для рыбы ""ОМЕГА"" 0,02кг ";82,50;Казахстан
81;"Приправа для шашлыка ""ROYAL"" 170гр";385,00;Россия
82;"Приправа для шашлыка ""ROYAL"" 450гр";1 155,00;Россия
83;"Приправа универсальная ""ROYAL"" 125гр";385,00;Россия
84;"Приправа универсальная ""ROYAL"" 450гр";1 100,00;Россия
85;"Приправа универсальная ""VEGETTA"" 0,3 кг";1 050,50;Италия
86;"Приправа универсальная ""VEGETTA"" 1 кг";3 993,00;Италия
87;Разрыхлитель для мяса 0,05кг (маленький) ;550,00;Китай
88;Разрыхлитель для мяса 0,25кг (большой);874,50;Китай
89;"Разрыхлитель теста ""АСЫЛ HoReCa"" 950гр.";1 276,00;Казахстан
90;Сахар тростниковый кусковой 0,5кг;1 485,00;Россия
91;"Сахарная пудра ""СЛАДКИЕ МЕЧТЫ"" 1кг.";814,00;Казахстан
92;Сода пищевая 500гр;363,00;Казахстан
93;"Соевое мясо ""ЮНН"" 0,13кг ";374,00;Китай
94;"Солод ""СЛАДКИЕ МЕЧТЫ"" 1кг";913,00;Казахстан
95;"Соль ""АРАЛ"" 1кг";143,00;Казахстан
96;Соль в ассортименте 1кг;110,00;Казахстан
97;"Соль пищевая морская крупная ""Атлантика"" 1 кг";737,00;
98;"Соль пищевая морская мелкая "" Атлантика""1 кг";693,00;
99;Соль экстра 1кг ;275,00;Россия
100;"Чеснок сухой ""ПРИПРАВЫЧ"" 0,6кг";2 970,00;Россия
101;Чеснок сухой 1кг;1 265,00;Узбекистан 
;  СИРОПЫ;;
1;"Сироп ""INCO BRAND"" банан 1 л";2 310,00;Казахстан
2;"Сироп ""INCO BRAND"" манго -маракуйя 1л";2 310,00;Казахстан
3;"Сироп ""INCO BRAND"" мохито 1 л";2 299,00;Казахстан
4;"Сироп BARBADOS ""Абрикос"" 1л";2 299,00;Казахстан
5;"Сироп BARBADOS ""Ананас"" 1л";2 420,00;Казахстан
6;"Сироп BARBADOS ""Апельсин"" 1л";2 420,00;Казахстан
7;"Сироп BARBADOS ""Арбуз"" 1л";2 541,00;Казахстан
8;"Сироп BARBADOS ""Бабл гам"" 1л";2 299,00;Казахстан
9;"Сироп BARBADOS ""Банан"" 1л";2 541,00;Казахстан
10;"Сироп BARBADOS ""Барбарис"" 1л";2 420,00;Казахстан
11;"Сироп BARBADOS ""Блю курасао"" 1л";2 178,00;Казахстан
12;"Сироп BARBADOS ""Ваниль"" 1л";2 420,00;Казахстан
13;"Сироп BARBADOS ""Вишня"" 1л";2 541,00;Казахстан
14;"Сироп BARBADOS ""Ганат"" 1л";2 310,00;Казахстан
15;"Сироп BARBADOS ""Гранат"" 1л ";2 420,00;Казахстан
16;"Сироп BARBADOS ""Грейпфрут"" 1л ";2 420,00;Казахстан
17;"Сироп BARBADOS ""Гренадин"" 1л ";2 420,00;Казахстан
18;"Сироп BARBADOS ""Груша"" 1л";2 541,00;Казахстан
19;"Сироп BARBADOS ""Дыня"" 1л";2 420,00;Казахстан
20;"Сироп BARBADOS ""Зеленое яблоко"" 1л";2 310,00;Казахстан
21;"Сироп BARBADOS ""Имбирный пряник"" 1л";2 541,00;Казахстан
22;"Сироп BARBADOS ""Имбирь"" 1л";2 420,00;Казахстан
23;"Сироп BARBADOS ""Карамель"" 1л";2 310,00;Казахстан
24;"Сироп BARBADOS ""Киви"" 1л ";2 541,00;Казахстан
25;"Сироп BARBADOS ""Киви-Лайм"" 1л";2 541,00;Казахстан
26;"Сироп BARBADOS ""Клубника"" 1л";2 541,00;
27;"Сироп BARBADOS ""Кокос"" 1л";2 310,00;Казахстан
28;"Сироп BARBADOS ""Корица"" 1л";2 310,00;Казахстан
29;"Сироп BARBADOS ""ЛИМОН"" 1л";2 310,00;Казахстан
30;"Сироп BARBADOS ""Лайм"" 1л";2 299,00;Казахстан
31;"Сироп BARBADOS ""Лесной орех"" 1л";2 365,00;Казахстан
32;"Сироп BARBADOS ""Лесные Ягоды"" 1л";2 541,00;Казахстан
33;"Сироп BARBADOS ""Малина"" 1л";2 541,00;Казахстан
34;"Сироп BARBADOS ""Манго"" 1л";2 541,00;Казахстан
35;"Сироп BARBADOS ""Манго-Маракуйя"" 1л";2 541,00;Казахстан
36;"Сироп BARBADOS ""Мандарин"" 1л";2 310,00;Казахстан
37;"Сироп BARBADOS ""Маракуйя"" 1л";2 541,00;Казахстан
38;"Сироп BARBADOS ""Миндаль"" 1л";2 365,00;Казахстан
