Отчет IMPRO v.1.0 build-727         << S_MARKET >>;;;
ПРАЙС ИМПРО ОБЩИЙ;;;
Дата: 05.05.2026;;;
Склад:   ОСНОВНОЙ СКЛАД;;;
Дни:   ;;;
Реквизиты идополнительные данные;;;
Торговая точка:   Gastro Mir;;;
;;;
№ п/п;Товар;;Производитель
2;"Варенье ""ЖУЛДЫЗ"" клубника 4л";5 830,00;Казахстан
3;"Варенье ""ЖУЛДЫЗ"" малина в  4л";5 940,00;Казахстан
4;"Варенье ""КАРЛСОН"" в ассортименте 6,8л.";6 600,00;Россия
5;"Варенье ""КАРЛСОН"" смородина 4кг";3 960,00;Россия
6;"Варенье"" КАРЛСОН"" абрикос 4 Л";4 290,00;Россия
7;"Варенье""КАРЛСОН"" клубника 4 Л";4 532,00;Россия
8;"Варенье""КАРЛСОН"" лимон имбирь 4 Л";3 960,00;Россия
9;"Варенье""КАРЛСОН"" малина 4 Л";4 543,00;Россия
10;"Готовый завтак ""Хрутка"" хлопья 0,7 кг ";2 420,00;Россия
11;"Джем  ""МАХЕЕВ"" персик манго  0,3 КГ";715,00;Россия
12;"Джем  ""МАХЕЕВ"" тропические фрукты 0,3 КГ";814,00;Россия
13;"Джем ""ANDROS"" в ассортименте 1кг";3 850,00;Россия
14;"Джем ""МАХЕЕВ"" апельсин 0,3,кг ";825,00;Россия
15;"Джем ""МАХЕЕВ"" клубника 0,3  кг";836,00;Россия
16;"Джем ""МАХЕЕВ"" лесная ягода 0,3 КГ";605,00;Россия
17;"Джем ""МАХЕЕВ"" лимон 0,3 КГ";715,00;Россия
18;"Джем ""МАХЕЕВ"" малина 0,3 КГ";836,00;Россия
19;"Какао ""АСЫЛ HORECA"" 1кг";2 695,00;Казахстан
20;"Какао напиток ""NESQUIK"" 1 кг";5 610,00;Россия
21;"Клубника в сиропе ""ДИВА"" 580гр. стекло";1 045,00;Китай
22;Конфитюр Алоэ 1кг;3 751,00;Корея
23;"Краситель ""ТOP DECOR"" (белый) 0,1кг";1 452,00;Россия
24;"Краситель ""ТOP DECOR"" (голубой) 0,1кг";1 100,00;Россия
25;"Краситель ""ТOP DECOR"" (желтый) 0,1кг";1 210,00;Россия
26;"Краситель ""ТOP DECOR"" (зеленый) 0,1кг";1 100,00;Россия
27;"Краситель ""ТOP DECOR"" (коричневый) 0,1кг";1 331,00;Россия
28;"Краситель ""ТOP DECOR"" (красный) 0,1кг";1 320,00;Россия
29;"Краситель ""ТOP DECOR"" (оранжевый) 0,1кг";1 100,00;Россия
30;"Краситель ""ТOP DECOR"" (розовый) 0,1кг";1 100,00;Россия
31;"Краситель ""ТOP DECOR"" (синий) 0,1кг";1 100,00;Россия
32;"Краситель ""ТOP DECOR"" (черный) 0,1кг";2 200,00;Россия
33;Манго в сиропе 425мл;990,00;Россия
34;Мед искусственый 1кг;671,00;Казахстан
35;Мед искусственый 5л;3 960,00;Казахстан
36;"Печенье ""ОREO"" 4кг";10 362,00;Россия
37;Печенье Савоярди;1 892,00;Италия
